Date,Time,Count
2020-05-10,09-00-00,1
2020-05-10,09-03-21,2
2020-05-10,09-06-42,2
2020-05-10,09-10-03,1
2020-05-10,09-13-24,1
2020-05-10,09-16-45,3
2020-05-10,09-20-06,1
2020-05-10,09-23-27,7
2020-05-10,09-26-48,2
2020-05-10,09-30-09,4
2020-05-10,09-33-30,7
2020-05-10,09-36-51,6
2020-05-10,09-40-12,3
2020-05-10,09-43-33,4
2020-05-10,09-46-54,8
2020-05-10,09-50-15,3
2020-05-10,09-53-36,1
2020-05-10,09-56-57,1
2020-05-10,10-00-18,3
2020-05-10,10-03-39,2
2020-05-10,10-07-00,9
2020-05-10,10-10-21,1
2020-05-10,10-13-42,3
2020-05-10,10-17-03,1
2020-05-10,10-20-24,1
2020-05-10,10-23-45,2
2020-05-10,10-27-06,3
2020-05-10,10-30-27,7
2020-05-10,10-33-48,4
2020-05-10,10-37-09,3
2020-05-10,10-40-30,2
2020-05-10,10-43-51,2
2020-05-10,10-47-12,1
2020-05-10,10-50-33,4
2020-05-10,10-53-54,1
2020-05-10,10-57-15,2
2020-05-10,11-00-36,4
2020-05-10,11-03-57,3
2020-05-10,11-07-18,2
2020-05-10,11-10-39,0
2020-05-10,11-14-00,3
2020-05-10,11-17-21,2
2020-05-10,11-20-42,2
2020-05-10,11-24-03,2
2020-05-10,11-27-24,5
2020-05-10,11-30-45,5
2020-05-10,11-34-06,9
2020-05-10,11-37-27,1
2020-05-10,11-40-48,4
2020-05-10,11-44-09,1
2020-05-10,11-47-30,3
2020-05-10,11-50-51,3
2020-05-10,11-54-12,4
2020-05-10,11-57-33,3
2020-05-10,12-00-54,0
2020-05-10,12-04-15,3
2020-05-10,12-07-36,3
2020-05-10,12-10-57,2
2020-05-10,12-14-18,6
2020-05-10,12-17-39,3
2020-05-10,12-21-00,1
2020-05-10,12-24-21,1
2020-05-10,12-27-42,3
2020-05-10,12-31-03,3
2020-05-10,12-34-24,2
2020-05-10,12-37-45,6
2020-05-10,12-41-06,2
2020-05-10,12-44-27,1
2020-05-10,12-47-48,4
2020-05-10,12-51-09,3
2020-05-10,12-54-30,4
2020-05-10,12-57-51,4
2020-05-10,13-01-12,1
2020-05-10,13-04-33,2
2020-05-10,13-07-54,8
2020-05-10,13-11-15,2
2020-05-10,13-14-36,1
2020-05-10,13-17-57,1
2020-05-10,13-21-18,1
2020-05-10,13-24-39,2
2020-05-10,13-28-00,1
2020-05-10,13-31-21,4
2020-05-10,13-34-42,1
2020-05-10,13-38-03,1
2020-05-10,13-41-24,4
2020-05-10,13-44-45,2
2020-05-10,13-48-06,2
2020-05-10,13-51-27,3
2020-05-10,13-54-48,3
2020-05-10,13-58-09,6
2020-05-10,14-01-30,3
2020-05-10,14-04-51,1
2020-05-10,14-08-12,2
2020-05-10,14-11-33,5
2020-05-10,14-14-54,2
2020-05-10,14-18-15,8
2020-05-10,14-21-36,2
2020-05-10,14-24-57,2
2020-05-10,14-28-18,3
2020-05-10,14-31-39,5
2020-05-10,14-35-00,2
2020-05-10,14-38-21,2
2020-05-10,14-41-42,3
2020-05-10,14-45-03,2
2020-05-10,14-48-24,2
2020-05-10,14-51-45,1
2020-05-10,14-55-06,3
2020-05-10,14-58-27,3
2020-05-10,15-01-48,2
2020-05-10,15-05-09,2
2020-05-10,15-08-30,3
2020-05-10,15-11-51,2
2020-05-10,15-15-12,4
2020-05-10,15-18-33,4
2020-05-10,15-21-54,1
2020-05-10,15-25-15,3
2020-05-10,15-28-36,5
2020-05-10,15-31-57,7
2020-05-10,15-35-18,5
2020-05-10,15-38-39,2
2020-05-10,15-42-00,2
2020-05-10,15-45-21,2
2020-05-10,15-48-42,2
2020-05-10,15-52-03,3
2020-05-10,15-55-24,1
2020-05-10,15-58-45,2
2020-05-10,16-02-06,3
2020-05-10,16-05-27,4
2020-05-10,16-08-48,1
2020-05-10,16-12-09,1
2020-05-10,16-15-30,2
2020-05-10,16-18-51,1
2020-05-10,16-22-12,3
2020-05-10,16-25-33,2
2020-05-10,16-28-54,6
2020-05-10,16-32-15,4
2020-05-10,16-35-36,2
2020-05-10,16-38-57,2
2020-05-10,16-42-18,1
2020-05-10,16-45-39,2
2020-05-10,16-49-00,1
2020-05-10,16-52-21,3
2020-05-10,16-55-42,3
2020-05-10,16-59-03,1
2020-05-10,17-02-24,1
2020-05-10,17-05-45,1
2020-05-10,17-09-06,8
2020-05-10,17-12-27,2
2020-05-10,17-15-48,3
2020-05-10,17-19-09,2
2020-05-10,17-22-30,8
2020-05-10,17-25-51,1
2020-05-10,17-29-12,4
2020-05-10,17-32-33,2
2020-05-10,17-35-54,1
2020-05-10,17-39-15,2
2020-05-10,17-42-36,3
2020-05-10,17-45-57,1
2020-05-10,17-49-18,4
2020-05-10,17-52-39,3
2020-05-10,17-56-00,2
2020-05-10,17-59-21,1
2020-05-10,18-02-42,6
2020-05-10,18-06-03,1
2020-05-10,18-09-24,3
2020-05-10,18-12-45,1
2020-05-10,18-16-06,4
2020-05-10,18-19-27,4
2020-05-10,18-22-48,4
2020-05-10,18-26-09,0
2020-05-11,09-00-00,2
2020-05-11,09-03-21,4
2020-05-11,09-06-42,4
2020-05-11,09-10-03,2
2020-05-11,09-13-24,1
2020-05-11,09-16-45,2
2020-05-11,09-20-06,3
2020-05-11,09-23-27,4
2020-05-11,09-26-48,2
2020-05-11,09-30-09,5
2020-05-11,09-33-30,3
2020-05-11,09-36-51,4
2020-05-11,09-40-12,2
2020-05-11,09-43-33,1
2020-05-11,09-46-54,1
2020-05-11,09-50-15,2
2020-05-11,09-53-36,1
2020-05-11,09-56-57,8
2020-05-11,10-00-18,9
2020-05-11,10-03-39,1
2020-05-11,10-07-00,5
2020-05-11,10-10-21,2
2020-05-11,10-13-42,2
2020-05-11,10-17-03,6
2020-05-11,10-20-24,5
2020-05-11,10-23-45,3
2020-05-11,10-27-06,1
2020-05-11,10-30-27,2
2020-05-11,10-33-48,2
2020-05-11,10-37-09,3
2020-05-11,10-40-30,4
2020-05-11,10-43-51,5
2020-05-11,10-47-12,3
2020-05-11,10-50-33,5
2020-05-11,10-53-54,6
2020-05-11,10-57-15,3
2020-05-11,11-00-36,2
2020-05-11,11-03-57,0
2020-05-11,11-07-18,5
2020-05-11,11-10-39,3
2020-05-11,11-14-00,3
2020-05-11,11-17-21,2
2020-05-11,11-20-42,3
2020-05-11,11-24-03,1
2020-05-11,11-27-24,1
2020-05-11,11-30-45,0
2020-05-11,11-34-06,1
2020-05-11,11-37-27,3
2020-05-11,11-40-48,1
2020-05-11,11-44-09,4
2020-05-11,11-47-30,1
2020-05-11,11-50-51,1
2020-05-11,11-54-12,3
2020-05-11,11-57-33,2
2020-05-11,12-00-54,1
2020-05-11,12-04-15,0
2020-05-11,12-07-36,2
2020-05-11,12-10-57,1
2020-05-11,12-14-18,2
2020-05-11,12-17-39,2
2020-05-11,12-21-00,2
2020-05-11,12-24-21,4
2020-05-11,12-27-42,3
2020-05-11,12-31-03,3
2020-05-11,12-34-24,3
2020-05-11,12-37-45,3
2020-05-11,12-41-06,4
2020-05-11,12-44-27,3
2020-05-11,12-47-48,4
2020-05-11,12-51-09,2
2020-05-11,12-54-30,1
2020-05-11,12-57-51,2
2020-05-11,13-01-12,2
2020-05-11,13-04-33,4
2020-05-11,13-07-54,3
2020-05-11,13-11-15,2
2020-05-11,13-14-36,1
2020-05-11,13-17-57,5
